country_code,country,region,year,cost_healthy_diet_ppp_usd,annual_cost_healthy_diet_usd,cost_vegetables_ppp_usd,cost_fruits_ppp_usd,total_food_components_cost,cost_category,data_quality
8,Albania,Africa,2017,3.04,1109.6,,,,High Cost,Estimated value
8,Albania,Africa,2018,3.13,1142.45,,,,High Cost,Estimated value
8,Albania,Africa,2019,3.32,1211.8,,,,High Cost,Estimated value
8,Albania,Africa,2020,3.4,1241.0,,,,High Cost,Estimated value
8,Albania,Africa,2021,3.49,1273.8500000000001,0.6,0.77,1.37,High Cost,Estimated value
8,Albania,Africa,2022,4.14,1511.1,,,,High Cost,Estimated value
8,Albania,Africa,2023,4.58,1671.7,,,,High Cost,Estimated value
8,Albania,Africa,2024,4.77,1741.05,,,,High Cost,Estimated value
12,Algeria,Africa,2017,4.1,1496.4999999999998,,,,High Cost,Estimated value
12,Algeria,Africa,2018,4.16,1518.4,,,,High Cost,Estimated value
12,Algeria,Africa,2019,4.18,1525.6999999999998,,,,High Cost,Estimated value
12,Algeria,Africa,2020,4.19,1529.3500000000001,,,,High Cost,Estimated value
12,Algeria,Africa,2021,4.47,1631.55,0.72,1.1,1.82,High Cost,Estimated value
12,Algeria,Africa,2022,5.01,1828.6499999999999,,,,High Cost,Estimated value
12,Algeria,Africa,2023,5.41,1974.65,,,,High Cost,Estimated value
12,Algeria,Africa,2024,5.53,2018.45,,,,High Cost,Estimated value
24,Angola,Africa,2017,3.18,1160.7,,,,High Cost,Estimated value
24,Angola,Africa,2018,3.27,1193.55,,,,High Cost,Estimated value
24,Angola,Africa,2019,3.43,1251.95,,,,High Cost,Estimated value
24,Angola,Africa,2020,3.7,1350.5,,,,High Cost,Estimated value
24,Angola,Africa,2021,4.11,1500.15,0.44,0.75,1.19,High Cost,Estimated value
24,Angola,Africa,2022,4.55,1660.75,,,,High Cost,Estimated value
24,Angola,Africa,2023,4.72,1722.8,,,,High Cost,Estimated value
24,Angola,Africa,2024,5.0,1825.0,,,,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2017,3.77,1376.05,,,,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2018,4.24,1547.6000000000001,,,,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2019,4.38,1598.7,,,,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2020,4.67,1704.55,,,,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2021,4.92,1795.8,1.26,1.59,2.85,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2022,5.46,1992.9,,,,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2023,5.8,2117.0,,,,High Cost,Estimated value
28,Antigua and Barbuda,Africa,2024,5.9,2153.5,,,,High Cost,Estimated value
32,Argentina,Africa,2017,3.26,1189.8999999999999,,,,,Estimated value
51,Armenia,Africa,2017,3.22,1175.3000000000002,,,,High Cost,Estimated value
51,Armenia,Africa,2018,3.31,1208.15,,,,High Cost,Estimated value
51,Armenia,Africa,2019,3.44,1255.6,,,,High Cost,Estimated value
51,Armenia,Africa,2020,3.54,1292.1,,,,High Cost,Estimated value
51,Armenia,Africa,2021,3.8,1387.0,0.6,0.92,1.52,High Cost,Estimated value
51,Armenia,Africa,2022,4.27,1558.55,,,,High Cost,Estimated value
51,Armenia,Africa,2023,4.33,1580.45,,,,High Cost,Estimated value
51,Armenia,Africa,2024,4.35,1587.7499999999998,,,,High Cost,Estimated value
533,Aruba,Asia,2017,3.38,1233.7,,,,High Cost,Estimated value
533,Aruba,Asia,2018,3.55,1295.75,,,,High Cost,Estimated value
533,Aruba,Asia,2019,3.79,1383.35,,,,High Cost,Estimated value
533,Aruba,Asia,2020,3.9,1423.5,,,,High Cost,Estimated value
533,Aruba,Asia,2021,4.0,1460.0,1.0,1.09,2.09,High Cost,Estimated value
533,Aruba,Asia,2022,4.5,1642.5,,,,High Cost,Estimated value
533,Aruba,Asia,2023,4.82,1759.3000000000002,,,,High Cost,Estimated value
533,Aruba,Asia,2024,5.0,1825.0,,,,High Cost,Estimated value
36,Australia,Africa,2017,2.33,850.45,,,,Medium Cost,Estimated value
36,Australia,Africa,2018,2.36,861.4,,,,Medium Cost,Estimated value
36,Australia,Africa,2019,2.4,876.0,,,,Medium Cost,Estimated value
36,Australia,Africa,2020,2.51,916.15,,,,Medium Cost,Estimated value
36,Australia,Africa,2021,2.61,952.65,0.73,0.78,1.51,Medium Cost,Estimated value
36,Australia,Africa,2022,2.88,1051.2,,,,Medium Cost,Estimated value
36,Australia,Africa,2023,3.1,1131.5,,,,Medium Cost,Estimated value
36,Australia,Africa,2024,3.2,1168.0,,,,Medium Cost,Estimated value
40,Austria,Africa,2017,2.06,751.9,,,,Medium Cost,Estimated value
40,Austria,Africa,2018,2.11,770.15,,,,Medium Cost,Estimated value
40,Austria,Africa,2019,2.19,799.35,,,,Medium Cost,Estimated value
40,Austria,Africa,2020,2.3,839.4999999999999,,,,Medium Cost,Estimated value
40,Austria,Africa,2021,2.42,883.3,0.72,0.72,1.44,Medium Cost,Estimated value
40,Austria,Africa,2022,2.75,1003.75,,,,Medium Cost,Estimated value
40,Austria,Africa,2023,2.91,1062.15,,,,Medium Cost,Estimated value
40,Austria,Africa,2024,2.99,1091.3500000000001,,,,Medium Cost,Estimated value
31,Azerbaijan,Africa,2017,2.9,1058.5,,,,High Cost,Estimated value
31,Azerbaijan,Africa,2018,2.95,1076.75,,,,High Cost,Estimated value
31,Azerbaijan,Africa,2019,3.1,1131.5,,,,High Cost,Estimated value
31,Azerbaijan,Africa,2020,3.28,1197.1999999999998,,,,High Cost,Estimated value
31,Azerbaijan,Africa,2021,3.44,1255.6,0.46,0.66,1.12,High Cost,Estimated value
31,Azerbaijan,Africa,2022,3.92,1430.8,,,,High Cost,Estimated value
31,Azerbaijan,Africa,2023,4.13,1507.45,,,,High Cost,Estimated value
31,Azerbaijan,Africa,2024,4.2,1533.0,,,,High Cost,Estimated value
44,Bahamas,Africa,2017,4.2,1533.0,,,,High Cost,Estimated value
44,Bahamas,Africa,2018,4.23,1543.95,,,,High Cost,Estimated value
44,Bahamas,Africa,2019,4.12,1503.8,,,,High Cost,Estimated value
44,Bahamas,Africa,2020,4.19,1529.3500000000001,,,,High Cost,Estimated value
44,Bahamas,Africa,2021,4.28,1562.2,,,,High Cost,Estimated value
44,Bahamas,Africa,2022,4.96,1810.4,,,,High Cost,Estimated value
44,Bahamas,Africa,2023,5.25,1916.25,,,,High Cost,Estimated value
44,Bahamas,Africa,2024,5.54,2022.1,,,,High Cost,Estimated value
48,Bahrain,Africa,2017,3.04,1109.6,,,,High Cost,Estimated value
48,Bahrain,Africa,2018,3.19,1164.35,,,,High Cost,Estimated value
48,Bahrain,Africa,2019,3.3,1204.5,,,,High Cost,Estimated value
48,Bahrain,Africa,2020,3.42,1248.3,,,,High Cost,Estimated value
48,Bahrain,Africa,2021,3.25,1186.25,0.74,0.41,1.15,High Cost,Estimated value
48,Bahrain,Africa,2022,3.74,1365.1000000000001,,,,High Cost,Estimated value
48,Bahrain,Africa,2023,4.12,1503.8,,,,High Cost,Estimated value
48,Bahrain,Africa,2024,4.33,1580.45,,,,High Cost,Estimated value
50,Bangladesh,Africa,2017,3.09,1127.85,,,,High Cost,Estimated value
50,Bangladesh,Africa,2018,3.26,1189.8999999999999,,,,High Cost,Estimated value
50,Bangladesh,Africa,2019,3.4,1241.0,,,,High Cost,Estimated value
50,Bangladesh,Africa,2020,3.61,1317.6499999999999,,,,High Cost,Estimated value
50,Bangladesh,Africa,2021,3.83,1397.95,0.76,0.66,1.42,High Cost,Estimated value
50,Bangladesh,Africa,2022,4.13,1507.45,,,,High Cost,Estimated value
50,Bangladesh,Africa,2023,4.33,1580.45,,,,High Cost,Estimated value
50,Bangladesh,Africa,2024,4.49,1638.8500000000001,,,,High Cost,Estimated value
112,Belarus,Africa,2017,3.13,1142.45,,,,High Cost,Estimated value
112,Belarus,Africa,2018,3.13,1142.45,,,,High Cost,Estimated value
112,Belarus,Africa,2019,3.19,1164.35,,,,High Cost,Estimated value
112,Belarus,Africa,2020,3.22,1175.3000000000002,,,,High Cost,Estimated value
112,Belarus,Africa,2021,3.3,1204.5,0.48,0.94,1.42,High Cost,Estimated value
112,Belarus,Africa,2022,3.6,1314.0,,,,High Cost,Estimated value
112,Belarus,Africa,2023,3.72,1357.8000000000002,,,,High Cost,Estimated value
112,Belarus,Africa,2024,3.83,1397.95,,,,High Cost,Estimated value
56,Belgium,Africa,2017,2.0,730.0,,,,Medium Cost,Estimated value
56,Belgium,Africa,2018,2.07,755.55,,,,Medium Cost,Estimated value
56,Belgium,Africa,2019,2.16,788.4000000000001,,,,Medium Cost,Estimated value
56,Belgium,Africa,2020,2.28,832.1999999999999,,,,Medium Cost,Estimated value
56,Belgium,Africa,2021,2.26,824.9,0.62,0.74,1.3599999999999999,Medium Cost,Estimated value
56,Belgium,Africa,2022,2.49,908.85,,,,Medium Cost,Estimated value
56,Belgium,Africa,2023,2.77,1011.05,,,,Medium Cost,Estimated value
56,Belgium,Africa,2024,2.81,1025.65,,,,Medium Cost,Estimated value
84,Belize,Africa,2017,2.56,934.4,,,,High Cost,Estimated value
84,Belize,Africa,2018,2.69,981.85,,,,High Cost,Estimated value
84,Belize,Africa,2019,2.9,1058.5,,,,High Cost,Estimated value
84,Belize,Africa,2020,3.16,1153.4,,,,High Cost,Estimated value
84,Belize,Africa,2021,3.52,1284.8,1.22,0.28,1.5,High Cost,Estimated value
84,Belize,Africa,2022,3.85,1405.25,,,,High Cost,Estimated value
84,Belize,Africa,2023,4.32,1576.8000000000002,,,,High Cost,Estimated value
84,Belize,Africa,2024,4.54,1657.1,,,,High Cost,Estimated value
204,Benin,Americas,2017,2.85,1040.25,,,,Medium Cost,Estimated value
204,Benin,Americas,2018,2.87,1047.55,,,,Medium Cost,Estimated value
204,Benin,Americas,2019,2.89,1054.8500000000001,,,,Medium Cost,Estimated value
204,Benin,Americas,2020,2.9,1058.5,,,,Medium Cost,Estimated value
204,Benin,Americas,2021,3.07,1120.55,0.57,0.36,0.9299999999999999,Medium Cost,Estimated value
204,Benin,Americas,2022,3.25,1186.25,,,,Medium Cost,Estimated value
204,Benin,Americas,2023,3.3,1204.5,,,,Medium Cost,Estimated value
204,Benin,Americas,2024,3.39,1237.3500000000001,,,,Medium Cost,Estimated value
60,Bermuda,Africa,2017,2.88,1051.2,,,,High Cost,Estimated value
60,Bermuda,Africa,2018,2.94,1073.1,,,,High Cost,Estimated value
60,Bermuda,Africa,2019,3.12,1138.8,,,,High Cost,Estimated value
60,Bermuda,Africa,2020,3.33,1215.45,,,,High Cost,Estimated value
60,Bermuda,Africa,2021,3.55,1295.75,1.07,0.37,1.44,High Cost,Estimated value
60,Bermuda,Africa,2022,3.96,1445.4,,,,High Cost,Estimated value
60,Bermuda,Africa,2023,4.23,1543.95,,,,High Cost,Estimated value
60,Bermuda,Africa,2024,4.39,1602.35,,,,High Cost,Estimated value
64,Bhutan,Africa,2017,4.14,1511.1,,,,High Cost,Estimated value
64,Bhutan,Africa,2018,4.31,1573.1499999999999,,,,High Cost,Estimated value
64,Bhutan,Africa,2019,4.44,1620.6000000000001,,,,High Cost,Estimated value
64,Bhutan,Africa,2020,4.86,1773.9,,,,High Cost,Estimated value
64,Bhutan,Africa,2021,5.14,1876.1,0.99,1.5,2.49,High Cost,Estimated value
64,Bhutan,Africa,2022,5.48,2000.2,,,,High Cost,Estimated value
64,Bhutan,Africa,2023,5.69,2076.8500000000004,,,,High Cost,Estimated value
64,Bhutan,Africa,2024,5.96,2175.4,,,,High Cost,Estimated value
